KVA,Load_percent,Ia,Ib,Ic,In,UB_percent,Min_V,Max_dis,Load_peak,Ia_PEAK,Ib_PEAK,Ic_PEAK,UB_PEAK_percent,Min_V_peak,Copper_Loss,Core_Loss,Line_Loss,Copper_Loss_PEAK,Core_Loss_PEAK,Line_Loss_PEAK
160,18.13,51.63,40.63,33.44,15.48,23.22195704,215.19,819.21,20.39,57.45,45.27,38.59,21.9658906,214.14,35,187,538,46,187,646
160,15.91,43.48,33.67,33.11,9.93,18.30219481,220.96,637.74,18.22,51.85,37.42,37.04,23.14939435,217.9,37,187,201,48,193,329
160,44.15,116.07,97.55,92.62,21.75,13.7049373,211.86,841.01,53.73,149.06,114.22,109.47,19.96780684,209.57,231,187,1668,348,187,2367
50,31.46,61.91,1.5,1.5,60.41,186.134648,237.3,242.87,31.46,61.91,1.5,1.5,186.134648,237.3,53,79,91,53,79,91
50,54.57,52.23,37,28.97,20.51,32.56345178,219.82,854.41,68.22,61.85,47.16,38.76,25.56675915,217.22,188,79,464,306,79,661
50,26.85,46.74,10.5,0.91,41.82,141.1349957,215.47,1000.51,34.96,62.54,12.16,1.03,147.7485805,214.81,40,79,237,69,82,341
50,18.63,16.16,12.92,11.26,4.26,20.1784829,224.35,703.82,23.94,20.14,16.65,15.04,16.57341308,221.84,19,79,64,33,79,108
50,26.17,26.8,12.1,17.77,12.8,41.87400741,227.91,450.64,31.33,35.52,13.44,18.88,57.0754717,226.41,39,79,73,50,82,111
50,16.37,25.1,4.32,4.33,20.77,123.1111111,241.02,243.39,18.35,27.73,5.06,5.06,119.7886394,240.84,15,79,15,20,79,19
50,40.19,30.87,37.72,18.45,16.84,36.40854779,226.54,689.67,55.77,43.18,48.21,29.42,26.94313385,223.64,83,79,142,173,79,305
50,61.71,54.94,46.13,32.6,18.95,26.83474228,217.12,638.7,64.74,58.31,48.28,33.65,28.01625784,217.09,196,79,498,216,82,511
100,5.08,2.56,16.15,3.28,13.24,120.3274216,229.95,328.66,14.08,13.59,22.57,24.82,33.14201378,229.58,3,130,8,21,134,29
160,5.77,15.96,8.01,16.04,7.98,39.940015,229.49,488.17,9.85,25.03,17.2,26.06,24.43988871,228.52,5,187,12,14,187,36
160,12.11,16.94,30.78,36.19,17.15,39.43510905,229.39,222.9,13.27,16.05,35.88,40.01,47.62888841,229.21,20,187,34,25,193,42
100,38.16,46.51,76.78,42.04,31.98,39.32135729,219.57,1443.52,44.24,53.89,89.01,48.81,39.28850868,218.15,126,130,465,173,130,605
100,20.8,46.57,28.43,15.11,27.26,55.04383531,227.98,365.35,21.63,47.55,30.23,15.91,52.25744476,227.81,30,130,68,33,134,75
160,25.69,63.63,74.67,39.82,30.79,32.93285426,230.04,137.49,27.15,65.47,80.76,42,33.06061733,229.97,59,187,30,66,187,34
160,43.62,132.82,107.77,61.94,59.56,38.57799227,209.85,974.43,47.74,129.72,109.55,91.88,17.5177412,208.55,224,187,1675,279,187,2064
160,13.88,37.49,30.06,28.67,8.2,16.88838079,227.58,182.9,13.88,37.49,30.06,28.67,16.88838079,227.58,24,187,80,24,187,80
